"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
seminova-silver-surf-highflex-2-0-510x-19-1-4-x-2-1-2-295l-eps;"Seminova Silver Surf Highflex 2.0 - 5'10x 19 1/4 x 2 1/2 - 29,5L - EPS";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5`10;Volume;29,5L;;;2,090.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, pranchaseminova, PRANCHAUSADA, SEMINOVA, silversurf";"Seminova Silver Surf Highflex 2.0 - 5'10, 29,5L, EPS";"Adquira a prancha Seminova Silver Surf Highflex 2.0, 5'10, praticamente nova, com apenas uma queda. Aproveite a performance com plugs FCS2!";"Silver Surf";SIM;;;;
seminova-lost-rocket-redux-58x-19-1-2-x-2-1-2-29l-eps;"Seminova Lost Rocket Redux - 5'8x 19 1/2 x 2 1/2 - 29,L - EPS";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'8;Volume;29L;;;1,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"Lostsurfboards, prancha de surf, pranchaseminova, PRANCHAUSADA, rocketredux, SEMINOVA";"Seminova Lost Rocket Redux 5'8 - Prancha de Surf EPS";"Descubra a prancha Seminova Lost Rocket Redux 5'8, com pintura de fábrica e 5 plugs Fcs2. Aproveite essa oportunidade e surfe com estilo!";LOST;SIM;;;;
seminova-joca-secco-world-pro-510-x-19-3-8-x-2-7-16-291l-pu;"Seminova Joca Secco World Pro - 5'10 x 19 3/8 x 2 7/16 - 29,1L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;29,1L;;;1,890.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"jocasecco, prancha de surf, pranchaseminova, SEMINOVA";"Seminova Joca Secco World Pro - Prancha de Surf 5'10";"Adquira a seminova prancha Joca Secco World Pro 5'10, leve e ágil, com apenas 2 quedas. Ideal para surfistas que buscam performance. Compre já!";"Joca Secco";SIM;;;;
js-xero-gravity-510x-19-1-8-x-2-9-16-29l-eps-carbontune;"JS Xero Gravity - 5'10x 19 1/8 x 2 9/16 - 29,L -EPS Carbontune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'10;Volume;29L;;;5,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"js, js industries, prancha de surf, pu, XEROGRAVITY";;;"JS Industries";SIM;;;;
seminova-pyzel-white-tiger-56-x-19-1-2-x-2-1-2-301l-eps-50-carbono;"Seminova Pyzel White Tiger - 5'6 X 19 1/2 X 2 1/2 - 30,1L - EPS 50% Carbono";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'6;Volume;30,1L;;;3,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, SEMINOVA, whitetiger";;;Pyzel;SIM;;;;
seminova-al-merrick-two-happy-510-x-18-7-8-x-2-3-8-282l-eps-spinetek;"Seminova Al Merrick Two Happy - 5'10 X 18 7/8 X 2 3/8 - 28,2L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;28,2L;;;1,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, prancha de surf";;;"Al Merrick";SIM;;;;
seminova-al-merrick-fred-rubble-510-x-19-1-2-x-2-1-2-295l-eps-spinetek;"Seminova Al Merrick Fred Rubble - 5'10 X 19 1/2 X 2 1/2 - 29,5L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;29,5L;;;3,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, prancha de surf";;;"Al Merrick";SIM;;;;
seminova-al-merrick-r00k-15-510-x-19-3-8-x-2-1-2-294l-eps-spinetek;"Seminova Al Merrick R00K 15 - 5'10 X 19 3/8 X 2 1/2 - 29,4L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;29,4L;;;3,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, prancha de surf";"Seminova Al Merrick R00K 15 - Prancha EPS Spinetek";"Descubra a prancha Seminova Al Merrick R00K 15, feita em EPS Spinetek, ideal para surfistas que buscam qualidade e performance. Aproveite agora!";"Al Merrick";SIM;;;;
seminova-snapy-fritas-2-0-510-x-19-1-8-x-2-1-2-295l-eps-full-carbon;"Seminova Snapy Fritas 2.0 - 5'10 x 19 1/8 x 2 1/2 - 29,5L - Eps - Full Carbon";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5`10;Volume;29,5L;;;2,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, pranchaseminova, SEMINOVA, snapy";"Seminova Snapy Fritas 2.0 - Prancha Full Carbon 5'10";"Experimente a Seminova Snapy Fritas 2.0, uma prancha EPS full carbon, leve e de alta performance. Garanta a sua agora e deslize com estilo!";Snapy;SIM;;;;
seminova-dhd-dx1-511x-19-1-4-x-2-1-2-30l-pu;"Seminova DHD DX1 - 5'11x 19 1/4 x 2 1/2 - 30L -PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'11;Volume;30L;;;1,690.00;;4.00;216.00;15.00;53.00;;;;SIM;NÃO;;"dhd, prancha de surf, PRANCHA USADA, SEMINOVA, USADA";;;"DHD Surfboards";SIM;;;;
seminova-super-magic-mix-510-x-19-5-8-x-2-1-2-305l-pu;"Seminova SUPER Magic Mix - 5'10 x 19 5/8 x 2 1/2 - 30,5L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'11;Volume;30,5L;;;1,090.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, pranchaseminova, SEMINOVA, super";;;super;SIM;;;;
seminova-al-merrick-ci-pro-59-x-18-5-8-x-2-3-8-273l-eps-spinetek;"Seminova Al Merrick CI Pro - 5'9 x 18 5/8 x 2 3/8 - 27,3L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'9;Volume;27,3L;;;1,890.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, cipro, prancha de surf, pranchaseminova, SEMINOVA, spinetek";;;"Al Merrick";SIM;;;;
seminova-al-merrick-dumpster-diver-2-59-x-19-3-4-x-2-1-2-308l-eps-spinetek;"Seminova Al Merrick Dumpster Diver 2 - 5'9 x 19 3/4 x 2 1/2 - 30,8L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'9;Volume;30,8L;;;4,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, DD2, prancha de surf, pranchaseminova, SEMINOVA, spinetek";;;"Al Merrick";SIM;;;;
seminova-al-merrick-ogflyer-510-x-19-x-2-3-8-283l-eps-spinetek;"Seminova Al Merrick OgFlyer - 5'10 X 19 X 2 3/8 - 28,3L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;28,3L;;;2,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, OGFLYER, prancha de surf";;;"Al Merrick";SIM;;;;
pyzel-red-tiger-511-x-19-3-8-x-2-7-16-30l-eps;"Pyzel Red Tiger 5'11 x 19 3/8 x 2 7/16 - 30L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;5'11;Volume;30L;;;4,710.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"pranha de surf, pyzel, red tiger";;;Pyzel;SIM;;;;
js-xero-fusion-60-x-20-x-2-5-8-33l-eps-carbon-tune;"JS Xero Fusion 6'0 x 20 x 2 5/8 - 33L - EPS Carbon Tune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;6'0;Volume;33L;;;5,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"carbontune, js, js industries, prancha de surf, xerofusion";;;"JS Industries";SIM;;;;
pyzel-white-tiger-swallow-62-x-21-x-2-13-16-409l-pu;"Pyzel White Tiger swallow - 6'2 x 21 x 2 13/16 - 40,9L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;6'2;Volume;40.9L;;;4,390.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"5'8, pranha de surf, pyzel, white tiger";;;Pyzel;SIM;;Unissex;Adulto;
pyzel-red-tiger-60-x-19-3-4-x-2-11-16-339l-pu;"Pyzel Red Tiger 6'0 x 19 3/4 x 2 11/16 - 33,9L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;6';Volume;33,9L;;;4,380.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"pranha de surf, pyzel, red tiger";;;Pyzel;SIM;;;;
al-merrick-ci-mid-twin-63-x-20-3-4-x-2-5-8-375l-pu;"Al Merrick CI Mid Twin 6'3 x 20 3/4 x 2 5/8 - 37,5L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;6'5;Volume;39,7L;;;5,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"37.5L, 6'3, al merrick, bobby quad, prancha de surf, quad";;;"Al Merrick";SIM;;;;
mini-tank-boards-point-60-x-21-x-2-7-8-43l-eps;"Mini Tank Boards Point - 6'0 x 21 x 2 7/8 - 43L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Funboard, Prancha de surf > Prancha de surf para iniciantes";Tamanho;6'0;Volume;43L;;;2,890.00;;6.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"evolution, inciantes, prancha de surf";;;"Board's Point";SIM;;;;
big-fish-boards-point-63-x-22-x-2-3-8-45l-eps;"Big Fish Boards Point - 6'3 x 22 x 2 3/8 - 45L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Funboard, Prancha de surf > Prancha de surf para iniciantes";Tamanho;6'3;Volume;45L;;;2,890.00;;6.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"evolution, inciantes, prancha de surf";;;"Board's Point";SIM;;;;
evolution-boards-point-68-x-21-3-4-x-3-46l-eps;"Evolution Boards Point - 6'8 x 21 3/4 x 3 - 46L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Funboard, Prancha de surf > Prancha de surf para iniciantes";Tamanho;6'8;Volume;46L;;;2,890.00;;6.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"evolution, inciantes, prancha de surf";;;"Board's Point";SIM;;;;
seminova-cliff-er-60-x-21-x-2-3-4-375l-eps;"Seminova Cliff ER - 6'0 X 21 X 2 3/4 - 37,5L - EPS";"Prancha de surf > Prancha de surf usada seminova";Tamanho;6'0;Volume;37,5L;;;1,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"EPS, prancha de surf, SEMINOVA";;;Cliff;SIM;;;;
al-merrick-better-everyday-511-x-20-x-2-9-16-324l-pu;"Al Merrick Better Everyday 5'11 x 20 x 2 9/16 - 32,4L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5`11;Volume;32,4L;;;5,290.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"30.8L, 5'10, al merrick, better everyday, Channel Islands, prancha de surf, pu";;;"Pranchas de Surfe Al Merrick Better Everyday 5'10 30.8L PU";SIM;;Unissex;Adulto;
al-merrick-better-everyday-510-x-19-3-4-x-2-1-2-308l-pu;"Al Merrick Better Everyday 5'10 x 19 3/4 x 2 1/2 - 30,8L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'10;Volume;30,8L;;;5,290.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"30.8L, 5'10, al merrick, better everyday, Channel Islands, prancha de surf, pu";;;"Pranchas de Surfe Al Merrick Better Everyday 5'10 30.8L PU";SIM;;Unissex;Adulto;
snapy-fritas-2-0-swallow-511-x-19-1-2-x-2-9-16-32l-eps-full-carbonkevlar;"Snapy Fritas 2.0 Swallow - 5'11 x 19 1/2 x 2 9/16 - 32L EPS Full Carbon+Kevlar";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'11;Volume;32L;;;5,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"fritas2.0, fullcarbon, kevlar, prancha de surf, snapy";;;Snapy;SIM;;;;
snapy-rtx-round-510-x-19-1-8-x-2-9-16-296l-eps-full-carbonkevlar;"Snapy RTX ROUND - 5'10 x 19 1/8 x 2 9/16 - 29,6L - EPS Full Carbon+kevlar";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'10;Volume;29,8L;;;5,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"5'10, fullcarbon, kevlar, prancha de surf, RTX, snapy";;;Snapy;SIM;;;;
al-merrick-two-happy-58-x-18-3-4-x-2-3-8-269l-pu;"Al Merrick Two Happy 5'8 X 18 3/4 X 2 3/8 - 26,9L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands, Pranchas em promoção";Tamanho;5'8;Volume;26,9L;;;4,800.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, prancha de surf, pu, two happy";;;"Al Merrick";SIM;;;;
al-merrick-ci-2-pro-510-x-19-1-4-x-2-9-16-293l-pu;"Al Merrick CI 2 PRO - 5'10 x 19 1/4 x 2 9/16- 29,3L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'10;Volume;29,3L;;;4,800.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"28.7L, al merrick, CI2PRO, prancha de surf";;;"Al Merrick";SIM;;;;
al-merrick-ci-2-pro-510-x-19-1-4-x-2-9-16-308l-pu;"Al Merrick CI 2 PRO - 5'10 x 19 1/4 x 2 9/16- 30,8L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'10;Volume;30,8L;;;4,800.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"28.7L, al merrick, CI2PRO, prancha de surf";;;"Al Merrick";SIM;;;;
seminova-biquilha-reis-58-x-20-x-2-3-8-30l-pu;"Seminova Biquilha Reis - 5'8 x 20 x 2 3/8 - 30L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'8;Volume;30L;;;1,590.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"biquilha, prancha de surf, pranchaseminova";;;Reis;SIM;;;;
seminova-snapy-fritas-2-0-510-x-19-1-8-x-2-9-16-298l-pu;"Seminova Snapy Fritas 2.0 - 5'10 x 19 1/8 x 2 9/16 - 29,8L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;29,8L;;;1,590.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, pranchaseminova, SEMINOVA, snapy";;;Snapy;SIM;;;;
seminova-al-merrick-neckbeard-3-58-x-19-x-2-3-8-279l-pu;"Seminova Al Merrick Neckbeard 3 - 5'8 X 19 X 2 3/8 - 27,9L -PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'8;Volume;27,9L;;;2,890.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, nb3, Neckbeard 3, prancha de surf";;;"Al Merrick";SIM;;;;
lost-picies-60-x-2125-x-265-39l-eps;"Lost Picies - 6`0 x 21,25 x 2,65 - 39L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Lost Surfboards";Tamanho;6'0;Volume;39L;;;4,290.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"lost, picies, prancha de surf";;;Lost;SIM;;;;
lost-picies-511-x-2125-x-258-368l-eps;"Lost Picies - 5'11 x 21,25 x 2,58 - 36,8L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Lost Surfboards";Tamanho;5'11;Volume;36,8L;;;4,290.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"lost, picies, prancha de surf";;;Lost;SIM;;;;
lost-driver-3-0-511-x-1912-x-250-296l-pu;"Lost Driver 3.0 - 5'11 x 19,12 x 2,50 - 29,6L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Lost Surfboards";Tamanho;5'11;Volume;29,6L;;;4,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"driver3.0, lost, prancha de surf";;;Lost;SIM;;;;
lost-puddle-jumper-hp-510-x-2078-x-265-343l-eps;"Lost Puddle Jumper HP 5`10 x 20,78 x 2,65 - 34,3L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Lost Surfboards";Tamanho;5'10;Volume;34,3L;;;4,590.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"lost, prancha de surf, PUDDLEJUMPERRT";;;Lost;SIM;;;;
lost-sub-driver-2-0-swallow-511-x-1938-x-250-307l-eps;"Lost Sub-Driver 2.0 Swallow - 5'11 x 19,38 x 2,50 -30,7L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Lost Surfboards";Tamanho;5'11;Volume;30,7L;;;4,190.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"lost, prancha de surf, subdriver";;;Lost;SIM;;;;
lost-rnf96-59-x-2025-x-250-335l-eps;"Lost RNF96- 5'9 x 20,25 x 2,50 - 33,5L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Lost Surfboards";Tamanho;5'9;Volume;33,5L;;;4,590.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"lost, Lostsurfboards, prancha de surf, rnf96";;;Lost;SIM;;;;
dhd-utopia-511-x-19-1-8-x-2-1-2-30l-full-carbon;"DHD Utopia 5'11 x 19 1/8 x 2 1/2 - 30L - Full Carbon";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;5'11;Volume;30L;;;5,890.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"5'10, dhd, prancha de surf, utopia";;;"DHD Surfboards";SIM;;;;
al-merrick-febs-fish-511-x-21-1-8-x-2-5-8-391l-pu;"Al Merrick Feb's Fish 5'11 x 21 1/8 x 2 5/8 - 39,1L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'11;Volume;39,1L;;;5,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"39, 5'11, al merrick, biquilha, Channel Islands, Feb's Fish, prancha de surf, pu";;;"Al Merrick";SIM;;Unissex;Adulto;
seminova-al-merrick-two-happy-510-x-18-7-8-x-2-5-16-271l-eps-spinetek;"Seminova Al Merrick Two Happy 5'10 X 18 7/8 X 2 5/16 - 27,1L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;26,6L;;;2,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, prancha de surf, two happy";;;"Al Merrick";SIM;;;;
seminova-snapy-rtx-57-x-18-3-4-x-2-1-2-266l-eps-full-carbon;"Seminova Snapy RTX - 5'7 x 18 3/4 x 2 1/2 - 26,6L - Eps - Full Carbon";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'7;Volume;26,6L;;;2,990.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, pranchaseminova, RTX, SEMINOVA, snapy";;;Snapy;SIM;;;;
js-xero-gravity-511-x-19-1-4-x-2-7-16-295l-eps-carbontune;"JS Xero Gravity - 5'11 x 19 1/4 x 2 7/16 - 29,5L -EPS Carbontune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5`11;Volume;29,5L;;;5,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"js, js industries, prancha de surf, pu, XEROGRAVITY";;;"JS Industries";SIM;;;;
dhd-phoenix-sw-63-x-22-x-2-3-4-43l-eps;"DHD Phoenix SW 6'3 x 22 x 2 3/4 - 43L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards, Pranchas em promoção";Tamanho;6'3;Volume;43L;;;4,490.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"dhd, phoenix, phoenix sw, prancha de surf";;;"DHD Surfboards";SIM;;Unissex;Adulto;
